language,perturbation,pipeline,cosine_similarity,num_comparison
es,spelling,vanilla,0.8861516397998085,2701
es,word_order,vanilla,0.8736774437883129,2749
es,synonym,vanilla,0.875,2749
es,intensifier,vanilla,0.8659968306594941,2701
es,expansion_noimpact,vanilla,0.8684876406161978,2697
es,expansion_impact,vanilla,0.8527409634433761,2697
es,omission,vanilla,0.8338793485712772,2690
es,alteration,vanilla,0.8032433193502546,2669
fr,spelling,vanilla,0.8809726822568649,2703
fr,word_order,vanilla,0.8687242761038172,2706
fr,synonym,vanilla,0.8707895907597529,2702
fr,intensifier,vanilla,0.8690694130524114,2710
fr,expansion_noimpact,vanilla,0.8692129545363088,2707
fr,expansion_impact,vanilla,0.8441272064871663,2708
fr,omission,vanilla,0.8360753853425422,2689
fr,alteration,vanilla,0.7647761601519953,2666
hi,spelling,vanilla,0.8894860430757499,2701
hi,word_order,vanilla,0.8421770687084742,2702
hi,synonym,vanilla,0.8637449737699816,2692
hi,intensifier,vanilla,0.8697496079865608,2703
hi,expansion_noimpact,vanilla,0.8726253910689631,2703
hi,expansion_impact,vanilla,0.845587711449557,2708
hi,omission,vanilla,0.7955715133031636,2666
hi,alteration,vanilla,0.8132672756002561,2688
tl,spelling,vanilla,0.8991832374457742,2712
tl,word_order,vanilla,0.8796871256090162,2695
tl,synonym,vanilla,0.8831757274591818,2715
tl,intensifier,vanilla,0.8851371852411908,2713
tl,expansion_noimpact,vanilla,0.8862495407174018,2696
tl,expansion_impact,vanilla,0.8704978351781328,2694
tl,omission,vanilla,0.8184831666224776,2672
tl,alteration,vanilla,0.8232042316803476,2683
zh,spelling,vanilla,0.8229907568725402,2713
zh,word_order,vanilla,0.8314204292131905,2709
zh,synonym,vanilla,0.8283230680531638,2705
zh,intensifier,vanilla,0.8198378528368869,2716
zh,expansion_noimpact,vanilla,0.8275926029525739,2715
zh,expansion_impact,vanilla,0.8105957082158982,2713
zh,omission,vanilla,0.7691141167149176,2674
zh,alteration,vanilla,0.7708333218031372,2674
es,spelling,semantic,0.8968967530331267,2713
es,word_order,semantic,0.8866421230008322,2714
es,synonym,semantic,0.8836826242398713,2713
es,intensifier,semantic,0.8814379167765307,2717
es,expansion_noimpact,semantic,0.8811874005783058,2716
es,expansion_impact,semantic,0.8646617818216457,2714
es,omission,semantic,0.8508693014473361,2709
es,alteration,semantic,0.8149440064303973,2698
fr,spelling,semantic,0.8847266823916203,2720
fr,word_order,semantic,0.8738925519408594,2719
fr,synonym,semantic,0.8688501154516837,2719
fr,intensifier,semantic,0.8788587868623244,2724
fr,expansion_noimpact,semantic,0.8736698655367106,2721
fr,expansion_impact,semantic,0.8538928125159632,2724
fr,omission,semantic,0.8473773180312227,2719
fr,alteration,semantic,0.7843601480635644,2702
hi,spelling,semantic,0.8944679632945858,2721
hi,word_order,semantic,0.8477873938254077,2704
hi,synonym,semantic,0.8627706380196714,2710
hi,intensifier,semantic,0.8731983756539567,2717
hi,expansion_noimpact,semantic,0.8763691141404812,2717
hi,expansion_impact,semantic,0.8513923110443801,2717
hi,omission,semantic,0.8142387758908284,2692
hi,alteration,semantic,0.8274458550421927,2710
tl,spelling,semantic,0.900639676854617,2720
tl,word_order,semantic,0.8814996806770498,2707
tl,synonym,semantic,0.8910917825133398,2718
tl,intensifier,semantic,0.8880131521980892,2724
tl,expansion_noimpact,semantic,0.8924559129320997,2712
tl,expansion_impact,semantic,0.8754771963661229,2709
tl,omission,semantic,0.8462667110193245,2700
tl,alteration,semantic,0.8383489692338378,2707
zh,spelling,semantic,0.8254961309734543,2718
zh,word_order,semantic,0.8240974277090144,2720
zh,synonym,semantic,0.8300500028524794,2722
zh,intensifier,semantic,0.8295681506032399,2720
zh,expansion_noimpact,semantic,0.828480532430551,2718
zh,expansion_impact,semantic,0.8126649473012507,2719
zh,omission,semantic,0.7842737676366525,2706
zh,alteration,semantic,0.7731889570548806,2703
es,spelling,atomic,0.8945816398729022,2336
es,word_order,atomic,0.8831415818553474,2335
es,synonym,atomic,0.8788737937240313,2336
es,intensifier,atomic,0.8762511428704278,2340
es,expansion_noimpact,atomic,0.8770000129024736,2337
es,expansion_impact,atomic,0.8627017383523805,2339
es,omission,atomic,0.8409188059769654,2332
es,alteration,atomic,0.8141859874080342,2321
fr,spelling,atomic,0.887374944620966,2344
fr,word_order,atomic,0.8764024262778206,2340
fr,synonym,atomic,0.8759213290368,2344
fr,intensifier,atomic,0.8754716700106504,2346
fr,expansion_noimpact,atomic,0.8787231118292271,2343
fr,expansion_impact,atomic,0.8560904913459533,2344
fr,omission,atomic,0.8421713441597578,2336
fr,alteration,atomic,0.7830999625965486,2302
hi,spelling,atomic,0.8977416997845424,2342
hi,word_order,atomic,0.8462465001037145,2334
hi,synonym,atomic,0.86509970234351,2344
hi,intensifier,atomic,0.8751955659980618,2345
hi,expansion_noimpact,atomic,0.8815849354687166,2341
hi,expansion_impact,atomic,0.8579555391683342,2346
hi,omission,atomic,0.7976451223345709,2308
hi,alteration,atomic,0.8326421511401573,2325
tl,spelling,atomic,0.9101140273531498,2344
tl,word_order,atomic,0.8885900658237977,2336
tl,synonym,atomic,0.8965893892278777,2343
tl,intensifier,atomic,0.8953482193026832,2344
tl,expansion_noimpact,atomic,0.901304351280404,2326
tl,expansion_impact,atomic,0.8815837147087338,2332
tl,omission,atomic,0.8296014078956524,2308
tl,alteration,atomic,0.83839937172224,2311
zh,spelling,atomic,0.8346637091744613,2341
zh,word_order,atomic,0.8348962807180121,2340
zh,synonym,atomic,0.8399850516013619,2343
zh,intensifier,atomic,0.8396981427097954,2344
zh,expansion_noimpact,atomic,0.8400511942737081,2343
zh,expansion_impact,atomic,0.8250219304986254,2342
zh,omission,atomic,0.7828806616353019,2312
zh,alteration,atomic,0.7805405447670967,2318
