language,perturbation,pipeline,cosine_similarity,num_comparison
es,spelling,vanilla,0.8243918680463789,1853
es,word_order,vanilla,0.8090504681911216,1878
es,synonym,vanilla,0.807,2749
es,intensifier,vanilla,0.8077768770851659,1845
es,expansion_noimpact,vanilla,0.8056829067594327,1862
es,expansion_impact,vanilla,0.7982443431731064,1897
es,omission,vanilla,0.7702457461283291,1864
es,alteration,vanilla,0.7502779039467348,1853
fr,spelling,vanilla,0.829963278725658,1834
fr,word_order,vanilla,0.8078996788297416,1899
fr,synonym,vanilla,0.7949149793130957,1902
fr,intensifier,vanilla,0.8116769008900498,1889
fr,expansion_noimpact,vanilla,0.8070214114923223,1886
fr,expansion_impact,vanilla,0.7870136047913313,1864
fr,omission,vanilla,0.7765702372447693,1812
fr,alteration,vanilla,0.7443438558696636,1861
hi,spelling,vanilla,0.8243790889950371,1892
hi,word_order,vanilla,0.7843442642208943,1863
hi,synonym,vanilla,0.7942219878797009,1832
hi,intensifier,vanilla,0.8076437711974535,1907
hi,expansion_noimpact,vanilla,0.8153131566137505,1876
hi,expansion_impact,vanilla,0.7905886591100934,1857
hi,omission,vanilla,0.741948859373723,1837
hi,alteration,vanilla,0.7761512672005387,1844
tl,spelling,vanilla,0.8347795260475671,1880
tl,word_order,vanilla,0.8205182818018577,1870
tl,synonym,vanilla,0.8170502665497482,1870
tl,intensifier,vanilla,0.8290859442244641,1844
tl,expansion_noimpact,vanilla,0.8209556833640256,1845
tl,expansion_impact,vanilla,0.805798608203825,1863
tl,omission,vanilla,0.7573986492469408,1883
tl,alteration,vanilla,0.7768615285094553,1852
zh,spelling,vanilla,0.7618844201479855,1872
zh,word_order,vanilla,0.761683478579622,1871
zh,synonym,vanilla,0.7604022003877301,1840
zh,intensifier,vanilla,0.7662074733717186,1895
zh,expansion_noimpact,vanilla,0.7747791356498857,1888
zh,expansion_impact,vanilla,0.7505530655093026,1840
zh,omission,vanilla,0.725947648214052,1843
zh,alteration,vanilla,0.7260538051727946,1867
es,spelling,semantic,0.8043577685339321,3524
es,word_order,semantic,0.7987823179862491,3417
es,synonym,semantic,0.7940797247452402,3504
es,intensifier,semantic,0.7927877228493718,3551
es,expansion_noimpact,semantic,0.7918400757510615,3469
es,expansion_impact,semantic,0.7710045620445943,3455
es,omission,semantic,0.7697009902784216,3504
es,alteration,semantic,0.7324974738763306,3507
fr,spelling,semantic,0.8000130422543542,3498
fr,word_order,semantic,0.7895836829333941,3545
fr,synonym,semantic,0.7880632979082006,3499
